Month,Total,Average Count,Percent,Ave Percent
1,90266,960.2765957446809,6.147371392555599,73.7684567106672
2,87310,1027.1764705882354,6.575642141422379,78.90770569706855
3,107233,1153.0430107526881,7.381397870256816,88.5767744430818
4,114486,1192.5625,7.634388496836585,91.61266196203903
5,174043,1403.5725806451612,8.98520485438093,107.82245825257118
6,196495,1637.4583333333333,10.482463656243764,125.7895638749252
7,195373,1575.5887096774193,10.086394902495162,121.03673882994195
8,188508,1508.064,9.65412416883255,115.8494900259906
9,174183,1451.525,9.292180294844691,111.50616353813632
10,161960,1306.1290322580646,8.361403665850023,100.3368439902003
11,143112,1212.8135593220338,7.764029043421681,93.16834852106018
12,110923,1192.720430107527,7.635399512859818,91.62479415431783
